mode: atomic
github.com/slclub/gnet/context.go:125.28,129.2 1 15
github.com/slclub/gnet/context.go:254.13,256.3 1 1
github.com/slclub/gnet/context.go:257.13,259.3 1 1
github.com/slclub/gnet/context.go:260.13,262.3 1 1
github.com/slclub/gnet/context.go:263.13,265.3 1 0
github.com/slclub/gnet/context.go:267.16,269.3 1 0
github.com/slclub/gnet/context.go:283.57,285.16 2 1
github.com/slclub/gnet/context.go:288.2,289.17 2 1
github.com/slclub/gnet/context.go:285.16,287.3 1 0
github.com/slclub/gnet/context.go:293.55,295.2 1 0
github.com/slclub/gnet/context.go:297.29,305.2 5 1
github.com/slclub/gnet/context.go:307.39,310.20 3 5
github.com/slclub/gnet/context.go:313.2,313.20 1 5
github.com/slclub/gnet/context.go:317.2,317.76 1 2
github.com/slclub/gnet/context.go:321.2,321.99 1 1
github.com/slclub/gnet/context.go:325.2,325.11 1 0
github.com/slclub/gnet/context.go:310.20,312.3 1 4
github.com/slclub/gnet/context.go:313.20,315.3 1 3
github.com/slclub/gnet/context.go:317.76,319.3 1 1
github.com/slclub/gnet/context.go:321.99,323.3 1 1
github.com/slclub/gnet/context.go:332.80,333.32 1 3
github.com/slclub/gnet/context.go:338.2,338.21 1 1
github.com/slclub/gnet/context.go:341.2,341.25 1 1
github.com/slclub/gnet/context.go:344.2,344.12 1 1
github.com/slclub/gnet/context.go:333.32,336.3 2 2
github.com/slclub/gnet/context.go:338.21,340.3 1 1
github.com/slclub/gnet/context.go:341.25,343.3 1 2
github.com/slclub/gnet/context.go:348.57,351.2 2 1
github.com/slclub/gnet/context.go:354.42,356.19 2 4
github.com/slclub/gnet/context.go:359.2,360.19 2 4
github.com/slclub/gnet/context.go:364.2,366.18 3 3
github.com/slclub/gnet/context.go:370.2,372.52 2 3
github.com/slclub/gnet/context.go:356.19,358.3 1 4
github.com/slclub/gnet/context.go:360.19,363.3 2 1
github.com/slclub/gnet/context.go:366.18,368.3 1 0
github.com/slclub/gnet/context.go:378.45,380.2 1 1
github.com/slclub/gnet/context.go:382.51,384.2 1 1
github.com/slclub/gnet/context.go:386.43,388.2 1 0
github.com/slclub/gnet/context.go:389.46,391.2 1 0
github.com/slclub/gnet/context.go:393.59,395.19 2 1
github.com/slclub/gnet/context.go:398.2,398.79 1 1
github.com/slclub/gnet/context.go:395.19,397.3 1 0
github.com/slclub/gnet/file.go:11.67,13.16 2 1
github.com/slclub/gnet/file.go:16.2,19.16 3 1
github.com/slclub/gnet/file.go:22.2,25.12 3 1
github.com/slclub/gnet/file.go:13.16,15.3 1 0
github.com/slclub/gnet/file.go:19.16,21.3 1 0
github.com/slclub/gnet/file.go:29.34,31.16 2 1
github.com/slclub/gnet/file.go:35.2,38.16 3 1
github.com/slclub/gnet/file.go:43.2,43.19 1 1
github.com/slclub/gnet/file.go:31.16,34.3 2 0
github.com/slclub/gnet/file.go:38.16,41.3 2 0
github.com/slclub/gnet/file.go:47.30,51.16 2 3
github.com/slclub/gnet/file.go:57.2,57.18 1 3
github.com/slclub/gnet/file.go:51.16,55.3 1 0
github.com/slclub/gnet/request.go:76.28,81.2 2 15
github.com/slclub/gnet/request.go:84.84,88.9 2 9
github.com/slclub/gnet/request.go:92.2,93.9 2 8
github.com/slclub/gnet/request.go:97.2,98.9 2 4
github.com/slclub/gnet/request.go:102.2,104.20 2 2
github.com/slclub/gnet/request.go:107.2,107.8 1 2
github.com/slclub/gnet/request.go:88.9,90.3 1 1
github.com/slclub/gnet/request.go:93.9,95.3 1 4
github.com/slclub/gnet/request.go:98.9,100.3 1 2
github.com/slclub/gnet/request.go:104.20,106.3 1 1
github.com/slclub/gnet/request.go:110.77,112.9 2 2
github.com/slclub/gnet/request.go:115.2,116.9 2 2
github.com/slclub/gnet/request.go:119.2,121.20 3 1
github.com/slclub/gnet/request.go:124.2,124.19 1 1
github.com/slclub/gnet/request.go:112.9,114.3 1 0
github.com/slclub/gnet/request.go:116.9,118.3 1 1
github.com/slclub/gnet/request.go:121.20,123.3 1 1
github.com/slclub/gnet/request.go:127.99,129.9 2 2
github.com/slclub/gnet/request.go:132.2,133.9 2 2
github.com/slclub/gnet/request.go:137.2,139.20 3 1
github.com/slclub/gnet/request.go:142.2,142.19 1 1
github.com/slclub/gnet/request.go:129.9,131.3 1 0
github.com/slclub/gnet/request.go:133.9,135.3 1 1
github.com/slclub/gnet/request.go:139.20,141.3 1 1
github.com/slclub/gnet/request.go:145.71,148.20 3 3
github.com/slclub/gnet/request.go:151.2,151.10 1 3
github.com/slclub/gnet/request.go:154.2,154.60 1 3
github.com/slclub/gnet/request.go:158.2,158.27 1 1
github.com/slclub/gnet/request.go:148.20,150.3 1 0
github.com/slclub/gnet/request.go:151.10,153.3 1 0
github.com/slclub/gnet/request.go:154.60,156.3 1 2
github.com/slclub/gnet/request.go:161.65,164.2 2 2
github.com/slclub/gnet/request.go:166.48,168.2 1 1
github.com/slclub/gnet/request.go:170.49,172.2 1 1
github.com/slclub/gnet/request.go:177.52,179.2 1 4
github.com/slclub/gnet/request.go:183.52,187.2 3 17
github.com/slclub/gnet/request.go:189.29,196.2 6 1
github.com/slclub/gnet/request.go:198.33,201.29 1 17
github.com/slclub/gnet/request.go:204.2,204.49 1 15
github.com/slclub/gnet/request.go:201.29,203.3 1 2
github.com/slclub/gnet/request.go:207.32,208.102 1 17
github.com/slclub/gnet/request.go:212.2,215.72 3 2
github.com/slclub/gnet/request.go:219.2,219.45 1 2
github.com/slclub/gnet/request.go:208.102,210.3 1 15
github.com/slclub/gnet/request.go:215.72,218.3 1 0
github.com/slclub/gnet/request.go:225.50,228.2 1 13
github.com/slclub/gnet/request.go:230.54,232.20 2 3
github.com/slclub/gnet/request.go:236.2,236.38 1 3
github.com/slclub/gnet/request.go:239.2,240.25 2 2
github.com/slclub/gnet/request.go:232.20,234.3 1 1
github.com/slclub/gnet/request.go:236.38,238.3 1 1
github.com/slclub/gnet/request.go:245.73,246.43 1 1
github.com/slclub/gnet/request.go:252.2,253.16 2 1
github.com/slclub/gnet/request.go:256.2,257.16 2 1
github.com/slclub/gnet/request.go:246.43,248.73 2 0
github.com/slclub/gnet/request.go:248.73,250.4 1 0
github.com/slclub/gnet/request.go:253.16,255.3 1 0
github.com/slclub/gnet/request.go:262.44,264.2 1 3
github.com/slclub/gnet/response.go:57.28,60.2 2 6
github.com/slclub/gnet/response.go:62.57,64.2 1 16
github.com/slclub/gnet/response.go:66.42,67.35 1 5
github.com/slclub/gnet/response.go:70.2,70.17 1 3
github.com/slclub/gnet/response.go:67.35,69.3 1 2
github.com/slclub/gnet/response.go:73.35,75.2 1 16
github.com/slclub/gnet/response.go:77.31,79.2 1 6
github.com/slclub/gnet/response.go:81.33,83.2 1 4
github.com/slclub/gnet/response.go:88.34,89.17 1 12
github.com/slclub/gnet/response.go:92.2,93.40 2 5
github.com/slclub/gnet/response.go:89.17,91.3 1 7
github.com/slclub/gnet/response.go:96.52,101.2 4 5
github.com/slclub/gnet/response.go:103.58,108.2 4 1
github.com/slclub/gnet/response.go:113.66,114.16 1 1
github.com/slclub/gnet/response.go:117.2,117.50 1 1
github.com/slclub/gnet/response.go:114.16,116.3 1 1
github.com/slclub/gnet/response.go:121.46,123.2 1 1
github.com/slclub/gnet/response.go:126.28,129.2 2 4
github.com/slclub/gnet/response.go:131.50,132.54 1 1
github.com/slclub/gnet/response.go:135.2,135.12 1 1
github.com/slclub/gnet/response.go:132.54,134.3 1 0
github.com/slclub/gnet/response.go:138.47,140.17 1 5
github.com/slclub/gnet/response.go:144.2,144.43 1 4
github.com/slclub/gnet/response.go:140.17,143.3 2 1
